Record ID,Border Color,Bottom Margin,Conditional Print Field,Created By ID,Created Date,Currency ISO Code,Deleted,Display Order,External ID,Filter Field,Filter Operator,Filter Value,Group Field,Hide Column Header,Keep Together,Keep With Next,Keep With Previous,Last Modified By ID,Last Modified Date,Page Break,Print Quote Totals,Roll-Up Field,Section Name,Summary Display,System Modstamp,Top Margin,SBQQ__Template__r.Template Name,SBQQ__Content__r.Content Name
"a1o200000048yxcAAA","","0.0","Print_PDF_Notes__c","00520000002CI2kAAG","09/02/2016T18:49:14.000Z","USD","false","320.0","Chinese-Notes","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Notes","","12/07/2016T08:53:57.000Z","0.25","Chinese","SF-Notes: Chinese"
"a1o200000048yxdAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:49:14.000Z","USD","false","10.0","Chinese-Top","","","","","false","Always","Always","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Top","","12/07/2016T08:53:57.000Z","0.0","Chinese","Unity-Top: Chinese"
"a1o200000048yxeAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:49:14.000Z","USD","false","50.0","Chinese-Non MDQ","Non_MDQ_Output_Filter__c","equals","TRUE","","false","Always","Auto","Auto","0050J000006WjRgQAK","02/27/2017T13:53:48.000Z","","false","","Non MDQ","","03/03/2017T02:34:23.000Z","0.0","Chinese","Line Items"
"a1o200000048yxfAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:49:14.000Z","USD","false","37.0","Chinese-Configured Products & Services","","","","","false","Auto","Auto","Always","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","Configured Products & Services","","12/07/2016T08:53:57.000Z","0.25","Chinese","Configured Products Header: Chinese"
"a1o200000048yxgAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:49:14.000Z","USD","false","45.0","Chinese-MDQ-Other","Other_MDQ_Output_Filter__c","equals","TRUE","","false","Always","Auto","Auto","0050J000006WjRgQAK","02/27/2017T13:53:48.000Z","","false","","MDQ-Other","","03/03/2017T02:34:23.000Z","0.0","Chinese","MDQ"
"a1o200000048yxhAAA","","0.0","Has_Seats__c","00520000002CI2kAAG","09/02/2016T18:49:14.000Z","USD","false","41.0","Chinese-MDQ Seats","SBQQ__ProductFamily__c","equals","Seats","SBQQ__SegmentLabel__c","false","Auto","Auto","Always","0050J000006WjRgQAK","12/08/2016T10:42:32.000Z","","false","","MDQ Seats","","03/04/2017T02:36:47.000Z","0.0","Chinese","MDQ-Standard"
"a1o0J000002fdmQQAQ","","0.0","","00520000002CI2kAAG","11/24/2016T01:37:19.000Z","USD","false","150.0","English-VAT Statement","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","VAT Statement","","03/03/2017T02:34:23.000Z","0.1","English","VAT (English)"
"a1o0J000002g34ZQAQ","","0.0","","0050J000006WjRgQAK","03/06/2017T08:46:55.000Z","USD","false","200.0","Japanese-BB-Quote Terms","","","","","false","Auto","Auto","","0050J000006WjRgQAK","03/06/2017T08:46:55.000Z","","false","","Disclaimer - Japanese","","03/06/2017T08:46:55.000Z","0.0","Japanese-BB","Disclaimer - Japanese"
"a1o0J000002fgYGQAY","","0.0","","00520000002CI2kAAG","11/27/2016T20:11:57.000Z","USD","false","150.0","English-BB-VAT Statement","","","","","false","Auto","Auto","","0050J000006WjRgQAK","12/07/2016T08:53:57.000Z","","false","","VAT Statement","","12/07/2016T08:53:57.000Z","0.1","English-BB","VAT (English)"
"a1o200000048yxtAAA","","0.0","","00520000002CI2kAAG","09/02/2016T18:50:42.000Z","USD","false","55.0","Japanese-BB-MDQ-Other-BB","Other_MDQ_Output_Filter__c","equals","TRUE","","false","Auto","Auto","","0050J000006WjRgQAK","02/27/2017T13:53:48.000Z","","false","","MDQ-Other-BB","","02/27/2017T13:53:48.000Z","0.0","Japanese-BB","MDQ-BB"
